CoLA_SIFT_base.tgz,https://drive.google.com/file/d/1Z80nz5anxU_En-vhSJt3-YcxkCmjzXWG/view
MRPC_SIFT_base.tgz,https://drive.google.com/file/d/1HsI1vN2r-klqCdRrsvpMtVIMvtugiisL/view
RTE_SIFT_base.tgz,https://drive.google.com/file/d/1io8sYOmkxFN7LjggeuxwE-qUI_UqAJo2/view
SST-2_SIFT_base.tgz,https://drive.google.com/file/d/1D-v2-svO1PQ9gb-S9PQOgAfp5m2pkUtD/view
STS-B_SIFT_base.tgz,https://drive.google.com/file/d/18is15x75KMf_wsMkeLI44xJ3AI7LPsk8/view
QNLI_SIFT_base.tgz,https://drive.google.com/file/d/1qyRsNxHoM_3vzdtJ0OndFn8u2rsZm7ym/view
QQP_SIFT_base.tgz,https://drive.google.com/file/d/1yS9pcEQDOkrr0N-GJHQ_APgz5u1zMSBq/view
MNLI_SIFT_base.tgz,https://drive.google.com/file/d/1ISKpIQpRnveI7b_ecAtAPcML9Rb90PN3/view
CoLA_SIFT_Light_base.tgz,https://drive.google.com/file/d/1vBPlAaLhppP7nDqmA-LQYHZffHaenvwP/view
MRPC_SIFT_Light_base.tgz,https://drive.google.com/file/d/1A0VfszjppDP3HLR8h28OomEIOzDQM6Gv/view
RTE_SIFT_Light_base.tgz,https://drive.google.com/file/d/17V7sIZ8MdZF_TALKhggefWXPsAWkmk5s/view
SST-2_SIFT_Light_base.tgz,https://drive.google.com/file/d/149fByQiSejN8aO3j8MFsymcynKKm3f2b/view
STS-B_SIFT_Light_base.tgz,https://drive.google.com/file/d/149fByQiSejN8aO3j8MFsymcynKKm3f2b/view
QNLI_SIFT_Light_base.tgz,https://drive.google.com/file/d/1U8kfCmijJayfSufEMAjjhw9mZ6njlHlp/view
QQP_SIFT_Light_base.tgz,https://drive.google.com/file/d/11Yl_7lBvmycppmp1aYl5323MxfES0Uv7/view
MNLI_SIFT_Light_base.tgz,https://drive.google.com/file/d/1HfMVaG2f84wEThg4Dm8MFskJtiUCSlQN/view
